 ??????=86.60,?????=27.11,?????=-12.24 
,,
,,
 ??????=86.60,?????=27.09,?????=-12.26 
,,
,,
 ??????=86.60,?????=27.08,?????=-12.27 
,,
,,
 ??????=86.60,?????=27.07,?????=-12.28 
,,
,,
 ??????=86.60,?????=27.08,?????=-12.27 
,,
,,
 ??????=86.60,?????=27.07,?????=-12.28 
,,
,,
 ??????=86.60,?????=27.07,?????=-12.28 
,,
,,
 ??????=86.60,?????=27.06,?????=-12.29 
,,
,,
 ??????=86.60,?????=27.06,?????=-12.29 
,,
,,
 ??????=86.60,?????=26.82,?????=-12.53 
,,
,,
 ??????=86.60,?????=26.81,?????=-12.54 
,,
,,
 ??????=86.60,?????=26.82,?????=-12.53 
,,
,,
 ??????=86.60,?????=26.83,?????=-12.53 
,,
,,
 ??????=86.60,?????=26.81,?????=-12.54 
,,
,,
 ??????=86.60,?????=26.80,?????=-12.55 
,,
,,
 ??????=86.60,?????=26.78,?????=-12.57 
,,
,,
 ??????=86.60,?????=26.79,?????=-12.57 
,,
,,
 ??????=86.60,?????=26.77,?????=-12.58 
,,
,,
 ??????=86.60,?????=26.77,?????=-12.58 
,,
,,
 ??????=86.60,?????=26.77,?????=-12.58 
,,
,,
 ??????=86.60,?????=26.67,?????=-12.68 
,,
,,
 ??????=86.60,?????=26.67,?????=-12.68 
,,
,,
 ??????=86.60,?????=26.67,?????=-12.68 
,,
,,
 ??????=86.60,?????=26.66,?????=-12.69 
,,
,,
 ??????=86.60,?????=26.65,?????=-12.70 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.71 
,,
,,
 ??????=86.60,?????=26.64,?????=-12.72 
,,
,,
 ??????=86.60,?????=26.65,?????=-12.71 
,,
,,
 ??????=86.60,?????=26.66,?????=-12.70 
,,
,,
